kode,nama
18.11.02.2005,tanjung meneng
18.11.02.2006,eka mulya
18.11.02.2007,wono sari
18.11.02.2008,dwi karya mustika
18.11.02.2009,pangkal mas jaya
18.11.02.2010,pangkal mas mulya
18.11.02.2011,tanjung mas mulya
18.11.02.2012,muara mas
18.11.02.2013,tanjung mas jaya
18.11.02.2014,margo jaya
18.11.02.2015,pangkal mas
18.11.02.2016,tanjung menang raya
18.11.02.2017,tebing karya mandiri
18.11.02.2018,tanjung mas rejo
18.11.02.2019,margo mulyo
18.11.02.2020,muara asri
18.11.03,rawa jitu utara
18.11.03.2001,sungai buaya
18.11.03.2002,panggung jaya
18.11.03.2003,sungai sidang
18.11.03.2004,sidang sido rahayu
18.11.03.2005,sidang way puji
18.11.03.2006,sidang bandar anom
18.11.03.2007,panggung rejo
18.11.03.2008,sidang iso mukti
18.11.03.2009,sidang kurnia agung
18.11.03.2010,telogo rejo
18.11.03.2011,sidang gunung tiga
18.11.03.2012,sidang muara jaya
18.11.03.2013,sidang makmur
18.11.04,way serdang
18.11.04.2001,buko poso
18.11.04.2002,kejadian
18.11.04.2003,bumi harapan
18.11.04.2004,kebun dalem
18.11.04.2005,panca warna
18.11.04.2006,gedung boga
18.11.04.2007,suka agung
18.11.04.2008,rejo mulyo
18.11.04.2009,hadi mulyo
18.11.04.2010,labuhan batin
18.11.04.2011,labuhan baru
18.11.04.2012,labuhan makmur
18.11.04.2013,sri gedung mulya
18.11.04.2014,labuhan permai
18.11.04.2015,sumber rejo
18.11.04.2016,margo bhakti
18.11.04.2017,labuhan mulya
18.11.04.2018,karang mulya
18.11.04.2019,tri tunggal jaya
18.11.04.2020,suka mandiri
18.11.05,simpang pematang
18.11.05.2001,simpang pematang
18.11.05.2002,budi aji
18.11.05.2003,margo rahayu
18.11.05.2004,harapan jaya
18.11.05.2005,wira bangun
18.11.05.2006,agung batin
18.11.05.2007,bangun mulyo
18.11.05.2008,jaya sakti
18.11.05.2009,rejo binangun
18.11.05.2010,simpang mesuji
18.11.05.2011,margo makmur
18.11.05.2012,aji jaya
18.11.05.2013,mulya agung
18.11.06,panca jaya
18.11.06.2001,adi luhur
18.11.06.2002,mukti karya
18.11.06.2003,fajar baru
18.11.06.2004,adi mulyo
18.11.06.2005,fajar asri
18.11.06.2006,fajar indah
18.11.06.2007,adi karya mulya
18.11.07,tanjung raya
18.11.07.2001,brabasan
18.11.07.2002,gedung ram
18.11.07.2003,mekar sari
18.11.07.2004,bujung buring
18.11.07.2005,kagungan dalam
18.11.07.2006,tanjung sari
18.11.07.2007,harapan mukti
18.11.07.2008,sri tanjung
18.11.07.2009,bangun jaya
18.11.07.2010,muara tenang
18.11.07.2011,wira jaya
18.11.07.2012,sinar laga
18.11.07.2013,tri karya mulya
18.11.07.2014,berasan makmur
18.11.07.2015,mekar jaya
18.11.07.2016,gedung mulya
18.11.07.2017,tanjung harapan
18.11.07.2018,muara tenang timur
18.11.07.2019,sriwijaya
18.11.07.2020,mukti jaya
18.11.07.2021,bujung buring baru
18.12,kab. tulang bawang barat
18.12.01,tulang bawang tengah
18.12.01.1001,mulyo asri
18.12.01.2002,panaragan
18.12.01.2003,bandar dewa
18.12.01.2004,menggala mas
18.12.01.2005,penumangan
18.12.01.2006,penumangan baru
18.12.01.1007,panaragan jaya
18.12.01.2008,tirta kencana
18.12.01.2009,pulung kencana
18.12.01.2010,mulya kencana
18.12.01.2011,candra kencana
18.12.01.2012,tunas asri
18.12.01.2013,wono kerto
18.12.01.2014,panaragan jaya utama
18.12.01.2015,panaragan jaya indah
18.12.01.2016,mulya jaya
18.12.01.2017,tirta makmur
18.12.01.2018,candra mukti
18.12.01.2019,candra jaya
18.12.02,tumijajar
18.12.02.1001,daya murni
18.12.02.2002,daya sakti
18.12.02.2003,margo mulyo
18.12.02.2004,makarti
18.12.02.2005,gunung menanti
18.12.02.2006,daya asri
18.12.02.2007,murni jaya
18.12.02.2008,sumber rejo
18.12.02.2009,margo dadi
18.12.02.2010,gunung timbul
18.12.03,tulang bawang udik
18.12.03.2001,karta
18.12.03.2002,karta sari
18.12.03.2003,karta raharja
18.12.03.2004,gunung katun tanjungan
18.12.03.2005,gunung katun malai
18.12.03.2006,gedung ratu
18.12.03.2007,kagungan ratu
18.12.03.2008,marga kencana
18.12.03.2009,way sido
18.12.04,gunung terang
18.12.04.2002,toto mulyo
18.12.04.2006,setia bumi
18.12.04.2007,gunung terang
18.12.04.2008,gunung agung
18.12.04.2011,kagungan jaya
18.12.04.2012,terang mulya
18.12.04.2013,terang bumi agung
18.12.04.2015,setia agung
18.12.04.2017,mulyo jadi
18.12.04.2020,terang makmur
18.12.05,gunung agung
18.12.05.2001,tunas jaya
18.12.05.2002,mekar jaya
18.12.05.2003,marga jaya
18.12.05.2004,jaya murni
18.12.05.2005,suka jaya
18.12.05.2006,mulya jaya
18.12.05.2007,bangun jaya
18.12.05.2008,sumber jaya
18.12.05.2009,wono rejo
18.12.05.2010,tri tunggal jaya
18.12.05.2011,mulya sari
18.12.05.2012,dwikora jaya
18.12.05.2013,sumber rejeki
18.12.06,way kenanga
18.12.06.2001,agung jaya
18.12.06.2002,mercu buana
18.12.06.2003,balam jaya
18.12.06.2004,pagar buana
18.12.06.2005,indraloka i
18.12.06.2006,indraloka ii
18.12.06.2007,balam asri
18.12.06.2008,indraloka jaya
18.12.06.2009,indraloka mukti
18.12.07,lambu kibang
18.12.07.2001,kibang budi jaya
18.12.07.2002,lesung bhakti jaya
18.12.07.2003,mekar sari jaya
18.12.07.2004,pagar jaya
18.12.07.2005,gunung sari
18.12.07.2006,sumber rejo
18.12.07.2007,kibang yekti jaya
18.12.07.2008,kibang tri jaya
18.12.07.2009,gilang tunggal makarta
18.12.07.2010,kibang mulya jaya
18.12.08,pagar dewa
18.12.08.2001,pagar dewa
18.12.08.2002,pagar dewa suka mulya
18.12.08.2003,cahyou randu
18.12.08.2004,bujung dewa
18.12.08.2005,bujung sari marga
18.12.08.2006,marga jaya indah
18.12.09,batu putih
18.12.09.2001,panca marga
18.12.09.2002,sido makmur
18.12.09.2003,sakti jaya
18.12.09.2004,margo mulya
18.12.09.2005,margo dadi
18.12.09.2006,marga sari
18.12.09.2007,mulyo sari
18.12.09.2008,toto katon
18.12.09.2009,toto makmur
18.12.09.2010,toto wonodadi
18.13,kab. pesisir barat
18.13.01,pesisir tengah
18.13.01.2001,way redak
18.13.01.2002,serai
18.13.01.2003,kampung jawa
18.13.01.2004,rawas
18.13.01.1005,pasar krui
18.13.01.2006,suka negara
18.13.01.2007,pahmungan
18.13.01.1008,pasar kota krui
18.13.02,pesisir selatan
18.13.02.2001,negeri ratu tenumbang
18.13.02.2002,sukarame
18.13.02.2003,pelita jaya
18.13.02.2004,sumur jaya
18.13.02.2005,tanjung jati
18.13.02.2006,pagar dalam
18.13.02.2007,tanjung setia
18.13.02.2008,biha
18.13.02.2009,way jambu
18.13.02.2010,marang
18.13.02.2011,tanjung raya
18.13.02.2012,bangun negara
18.13.02.2013,ulok manik
18.13.02.2014,paku negara
18.13.02.2015,tulung bamban
18.13.03,lemong
18.13.03.2001,tanjung jati
18.13.03.2002,tanjung sakti
18.13.03.2003,way batang
18.13.03.2004,lemong
18.13.03.2005,cahaya negeri
18.13.03.2006,malaya
18.13.03.2007,bambang
18.13.03.2008,pagar dalam
18.13.03.2009,bandar pugung
18.13.03.2010,penengahan
18.13.03.2011,rata agung
18.13.03.2012,sukamulya
18.13.03.2013,parda haga
18.13.04,pesisir utara
18.13.04.2001,kuripan
18.13.04.2002,padang rindu
18.13.04.2003,negeri ratu
18.13.04.2004,kerbang dalam
18.13.04.2005,kota karang
18.13.04.2006,balam
18.13.04.2007,way narta
18.13.04.2008,kerbang langgar
18.13.04.2009,walur
18.13.04.2010,batu raja
18.13.04.2011,pemancar
18.13.04.2012,gedau
18.13.05,karya penggawa
18.13.05.2001,kebuayan
18.13.05.2002,way nukak
18.13.05.2003,way sindi
18.13.05.2004,penengahan
18.13.05.2005,menyancang
18.13.05.2006,laay
18.13.05.2007,penggawa v ulu
18.13.05.2008,penggawa v tengah
18.13.05.2009,way sindi utara
18.13.05.2010,tembakak way sindi
18.13.05.2011,way sindi hanuan
18.13.05.2012,asahan way sindi
18.13.06,pulaupisang
18.13.06.2001,pasar pulaupisang
18.13.06.2002,labuhan
18.13.06.2003,bandar dalam
18.13.06.2004,pekon lok
18.13.06.2005,sukadana
18.13.06.2006,suka marga
18.13.07,way krui
18.13.07.2001,pajar bulan
18.13.07.2002,bumi waras
18.13.07.2003,banjar agung
18.13.07.2004,penggawa v ilir
18.13.07.2005,ulu krui
18.13.07.2006,gunung kemala
18.13.07.2007,labuhan mandi
18.13.07.2008,suka baru
18.13.07.2009,penggawa lima
18.13.07.2010,gunungkemala timur
18.13.08,krui selatan
18.13.08.2001,balai kencana
18.13.08.2002,way suluh
18.13.08.2003,way napal
18.13.08.2004,padang haluan
18.13.08.2005,lintik
18.13.08.2006,walur
18.13.08.2007,pemerihan
18.13.08.2008,mandiri sejati
18.13.08.2009,padang raya
18.13.08.2010,suka jadi
18.13.09,ngambur
18.13.09.2001,sumber agung
18.13.09.2002,ulok mukti
18.13.09.2003,negeri ratu ngambur
18.13.09.2004,pekon mon
18.13.09.2005,gedung cahya kuningan
18.13.09.2006,suka banjar
18.13.09.2007,suka negara
18.13.09.2008,muara tembulih
18.13.09.2009,bumi ratu
18.13.10,ngaras
18.13.10.2001,negeri ratu ngaras
18.13.10.2003,kota batu
18.13.10.2004,mulang maya
18.13.10.2005,rajabasa
18.13.10.2006,pardasuka
18.13.10.2017,padang alam
18.13.10.2018,suka maju
18.13.10.2019,sukarame
18.13.10.2020,bandar jaya
18.13.11,bangkunat
18.13.11.2001,pagar bukit
18.13.11.2002,tanjung kemala
18.13.11.2003,suka marga
18.13.11.2004,kota jawa
18.13.11.2005,penyandingan
18.13.11.2006,bandar dalam
18.13.11.2007,way haru
18.13.11.2008,pemerihan
18.13.11.2009,suka negeri
18.13.11.2010,sumberejo
18.13.11.2011,siring gading
18.13.11.2012,way tias
18.13.11.2013,tanjung rejo
18.13.11.2014,pagar bukit induk
18.71,kota bandar lampung
18.71.01,kedaton
18.71.01.1003,kedaton
18.71.01.1004,surabaya
18.71.01.1005,sukamenanti
18.71.01.1006,sidodadi
18.71.01.1009,sukamenanti baru
18.71.01.1010,penengahan
18.71.01.1012,penengahan raya
18.71.02,sukarame
18.71.02.1003,sukarame
18.71.02.1004,way dadi
18.71.02.1006,sukarame baru
18.71.02.1007,way dadi baru
18.71.02.1008,korpri jaya
18.71.02.1009,korpri raya
18.71.03,tanjungkarang barat
18.71.03.1001,gedong air
18.71.03.1002,sukajawa
18.71.03.1004,susunan baru
18.71.03.1006,sukadana ham
18.71.03.1008,kelapa tiga permai
18.71.03.1010,sukajawa baru
18.71.03.1011,segalamider
18.71.04,panjang
18.71.04.1001,panjang selatan
18.71.04.1002,srengsem
18.71.04.1003,panjang utara
18.71.04.1004,pidada
18.71.04.1007,karang maritim
18.71.04.1008,way lunik
18.71.04.1009,ketapang
18.71.04.1010,ketapang kuala
18.71.05,tanjungkarang timur
18.71.05.1002,kota baru
18.71.05.1003,tanjung agung
18.71.05.1004,kebon jeruk
18.71.05.1005,sawah lama
18.71.05.1006,sawah brebes
18.71.06,tanjungkarang pusat
18.71.06.1001,durian payung
18.71.06.1002,gotong royong
18.71.06.1005,palapa
18.71.06.1006,kaliawi
18.71.06.1007,kelapa tiga
18.71.06.1010,pasir gintung
18.71.06.1012,kaliawi persada
18.71.07,telukbetung selatan
18.71.07.1001,pesawahan
18.71.07.1002,telukbetung
18.71.07.1008,talang
18.71.07.1009,gedong pakuon
18.71.07.1012,sumur putri
18.71.07.1013,gunungmas
18.71.08,telukbetung barat
18.71.08.1005,bakung
18.71.08.1006,kuripan
18.71.08.1007,negeri olok gading
18.71.08.1008,sukarame ii
18.71.08.1009,batu putuk
18.71.09,telukbetung utara
18.71.09.1001,kupang kota
18.71.09.1003,kupang raya
18.71.09.1004,kupang teba
18.71.09.1006,pengajaran
18.71.09.1007,gulak galik
18.71.09.1008,sumur batu
18.71.10,rajabasa
18.71.10.1001,rajabasa
18.71.10.1002,gedong meneng
18.71.10.1005,rajabasa nunyai
18.71.10.1006,rajabasa pemuka
18.71.10.1007,gedong meneng baru
18.71.10.1008,rajabasa raya
18.71.10.1009,rajabasa jaya
18.71.11,tanjung senang
18.71.11.1001,tanjung senang
18.71.11.1002,way kandis
18.71.11.1003,labuhan dalam
18.71.11.1004,perumnas way kandis
18.71.11.1005,pematang wangi
18.71.12,sukabumi
18.71.12.1002,sukabumi
18.71.12.1004,sukabumi indah
18.71.12.1007,campang raya
18.71.12.1008,nusantara permai
18.71.12.1009,campang jaya
18.71.12.1010,way gubak
18.71.12.1011,way laga
18.71.13,kemiling
18.71.13.1001,sumber rejo
18.71.13.1003,beringin jaya
18.71.13.1004,kemiling permai
18.71.13.1005,sumber agung
18.71.13.1006,kedaung
18.71.13.1007,pinang jaya
18.71.13.1008,sumberrejo sejahtera
18.71.13.1009,kemiling raya
18.71.13.1010,beringin raya
18.71.14,labuhan ratu
18.71.14.1001,labuhan ratu
18.71.14.1002,labuhan ratu raya
18.71.14.1003,sepang jaya
18.71.14.1004,kota sepang
18.71.14.1006,kampung baru raya
18.71.14.1007,kampung baru
18.71.15,way halim
18.71.15.1001,perumnas way halim
18.71.15.1002,way halim permai
18.71.15.1003,gunungsulah
18.71.15.1004,jagabaya i
18.71.15.1005,jagabaya ii
18.71.15.1006,jagabaya iii
18.71.16,langkapura
18.71.16.1001,langkapura
18.71.16.1002,langkapura baru
18.71.16.1003,gunungterang
18.71.16.1005,bilabong jaya
18.71.16.1006,gunungagung
18.71.17,enggal
18.71.17.1001,enggal
18.71.17.1002,pelita
18.71.17.1003,tanjungkarang
18.71.17.1004,gunungsari
18.71.17.1005,rawalaut
18.71.17.1006,pahoman
18.71.18,kedamaian
18.71.18.1001,kedamaian
18.71.18.1002,bumi kedamaian
18.71.18.1003,tanjungagung raya
18.71.18.1004,tanjungbaru
18.71.18.1005,kalibalau kencana
18.71.18.1006,tanjungraya
18.71.18.1007,tanjunggading
18.71.19,telukbetung timur
18.71.19.1001,kota karang
18.71.19.1002,kota karang raya
18.71.19.1003,parwata
18.71.19.1004,keteguhan
18.71.19.1005,sukamaju
18.71.19.1006,way tataan
18.71.20,bumi waras
18.71.20.1001,sukaraja
18.71.20.1002,bumi waras
18.71.20.1003,garuntang
18.71.20.1004,bumi raya
18.71.20.1005,kangkung
18.72,kota metro
18.72.01,metro pusat
18.72.01.1001,metro
18.72.01.1002,hadimulyo timur
18.72.01.1003,imopuro
18.72.01.1004,hadimulyo barat
18.72.01.1005,yosomulyo
18.72.02,metro utara
18.72.02.1001,banjarsari
18.72.02.1002,purwosari
18.72.02.1003,karangrejo
18.72.02.1004,purwoasri
18.72.03,metro barat
18.72.03.1001,mulyojati
18.72.03.1002,ganjar agung
18.72.03.1003,mulyosari
18.72.03.1004,ganjar asri
18.72.04,metro timur
18.72.04.1001,yosodadi
18.72.04.1002,tejosari
18.72.04.1003,iring mulyo
18.72.04.1004,yosorejo
18.72.04.1005,tejo agung
18.72.05,metro selatan
18.72.05.1001,rejomulyo
18.72.05.1002,margorejo
18.72.05.1003,sumbersari bantul
18.72.05.1004,margodadi
19,kepulauan bangka belitung
19.01,kab. bangka
19.01.01,sungailiat
19.01.01.1001,sungailiat
19.01.01.1002,sri menanti
19.01.01.1003,kudai
19.01.01.1004,sinar baru
19.01.01.1005,kenanga
19.01.01.1006,parit padang
19.01.01.2007,rebo
19.01.01.1008,sinar jaya jelutung
19.01.01.1009,matras
19.01.01.1010,jelitik
19.01.01.1011,surya timur
19.01.01.1012,lubuk kelik
19.01.01.1013,bukit betung
19.01.02,belinyu
19.01.02.1001,kuto panji
19.01.02.1002,air jukung
19.01.02.1003,bukit ketok
19.01.02.2004,gunung muda
19.01.02.2005,gunung pelawan
19.01.02.2006,riding panjang
19.01.02.2007,lumut
19.01.02.2008,bintet
19.01.02.1009,remodong indah
19.01.02.1010,air asam
19.01.02.1011,mantung
19.01.02.1012,belinyu
19.01.03,merawang
19.01.03.2001,batu rusa
19.01.03.2002,balun ijuk
19.01.03.2003,riding panjang
19.01.03.2004,jurung
19.01.03.2005,kimak
19.01.03.2006,pagarawan
19.01.03.2007,merawang
19.01.03.2008,air anyir
19.01.03.2009,dwi makmur
19.01.03.2010,jada bahrin
19.01.04,mendo barat
19.01.04.2001,petaling
19.01.04.2002,penagan
19.01.04.2003,zed
19.01.04.2004,mendo
19.01.04.2005,paya benua
19.01.04.2006,cengkong abang
19.01.04.2007,kace
19.01.04.2008,kemuja
19.01.04.2009,air duren
19.01.04.2010,kota kapur
19.01.04.2011,air buluh
19.01.04.2012,rukam
19.01.04.2013,labuh air pandan
19.01.04.2014,kace timur
19.01.04.2015,petaling banjar
19.01.05,pemali
19.01.05.2001,air ruai
19.01.05.2002,air duren
19.01.05.2003,penyamun
19.01.05.2004,sempan
19.01.05.2005,pemali
19.01.05.2006,karya makmur
19.01.06,bakam
19.01.06.2001,bakam
19.01.06.2002,kapuk
19.01.06.2003,dalil
19.01.06.2004,neknang
19.01.06.2005,tiang tarah
19.01.06.2006,mangka
19.01.06.2007,mabat
19.01.06.2008,bukit layang
19.01.06.2009,maras senang
19.01.07,riau silip
19.01.07.2001,riau
19.01.07.2002,pangkal niur
19.01.07.2003,pugul
19.01.07.2004,cit
19.01.07.2005,deniang
19.01.07.2006,silip
19.01.07.2007,mapur
19.01.07.2008,banyu asin
19.01.07.2009,berbura
19.01.08,puding besar
19.01.08.2001,puding besar
19.01.08.2002,labu
19.01.08.2003,nibung
19.01.08.2004,tanah bawah
19.01.08.2005,saing
19.01.08.2006,kota waringin
19.01.08.2007,kayu besi
19.02,kab. belitung
19.02.01,tanjung pandan
19.02.01.1001,kota
19.02.01.1002,parit
19.02.01.2003,buluh tumbang
19.02.01.2004,perawas
19.02.01.1005,lesung batang
19.02.01.1006,pangkallalang
19.02.01.2007,dukong
19.02.01.2008,juru seberang
19.02.01.1009,tanjungpendam
19.02.01.2010,air saga
19.02.01.1011,paal satu
19.02.01.2012,air merbau
19.02.01.2013,aik pelempang jaya
19.02.01.2014,aik ketekok
19.02.01.2015,aik rayak
19.02.01.1016,kampong damai
19.02.02,membalong
19.02.02.2001,membalong
19.02.02.2002,perpat
19.02.02.2003,lassar
19.02.02.2004,simpang rusa
19.02.02.2005,kembiri
19.02.02.2006,bantan
19.02.02.2007,tanjungrusa
19.02.02.2008,mentigi
19.02.02.2009,pulau seliu
19.02.02.2010,pulau sumedang
19.02.02.2011,gunung riting
19.02.02.2012,padang kandis
19.02.03,selat nasik
19.02.03.2001,selat nasik
19.02.03.2002,petaling
19.02.03.2003,suak gual
19.02.03.2004,pulau gersik
19.02.04,sijuk
19.02.04.2001,sijuk
19.02.04.2002,batu itam
19.02.04.2003,terong
19.02.04.2004,air seruk
19.02.04.2005,tanjung binga
19.02.04.2006,air selumar
19.02.04.2007,sungai padang
19.02.04.2008,keciput
19.02.04.2009,pelepak pute
19.02.04.2010,tanjong tinggi
19.02.05,badau
19.02.05.2001,badau
19.02.05.2002,air batu buding
19.02.05.2003,sungai samak
19.02.05.2004,kacang butor
19.02.05.2005,cerucuk
19.02.05.2006,pegantungan
19.02.05.2007,ibul
19.03,kab. bangka selatan
19.03.01,toboali
19.03.01.1001,toboali
19.03.01.1002,teladan
19.03.01.1003,tanjungketapang
19.03.01.2004,serdang
19.03.01.2005,jeriji
19.03.01.2006,bikang
19.03.01.2007,gadung
19.03.01.2008,rias
19.03.01.2010,kepoh
19.03.01.2012,keposang
19.03.01.2013,rindik
19.03.02,lepar pongok
19.03.02.2001,tanjunglabu
19.03.02.2002,tanjungsangkar
19.03.02.2004,kumbung
19.03.02.2005,penutuk
19.03.03,air gegas
19.03.03.2001,airgegas
19.03.03.2002,delas
19.03.03.2003,pergam
19.03.03.2004,bencah
19.03.03.2005,nyelanding
19.03.03.2006,nangka
19.03.03.2007,ranggas
19.03.03.2008,airbara
19.03.03.2009,sidoharjo
19.03.03.2010,tepus
19.03.04,simpang rimba
19.03.04.2001,jelutung ii
19.03.04.2002,gudang
19.03.04.2003,bangka kota
19.03.04.2004,rajik
19.03.04.2005,sebagin
19.03.04.2006,simpang rimba
19.03.04.2007,permis
19.03.05,payung
19.03.05.2001,payung
19.03.05.2002,malik
19.03.05.2003,sengir
19.03.05.2004,pangkal buluh
19.03.05.2005,irat
19.03.05.2006,bedengung
19.03.05.2008,nadung
19.03.05.2009,ranggung
19.03.05.2012,paku
19.03.06,tukak sadai
19.03.06.2001,sadai
19.03.06.2002,tukak
19.03.06.2003,pasir putih
19.03.06.2004,tiram
19.03.06.2005,bukit terap
19.03.07,pulaubesar
19.03.07.2001,batu betumpang
19.03.07.2002,sukajaya
19.03.07.2003,panca tunggal
19.03.07.2004,sumber jaya permai
19.03.07.2005,fajar indah
19.03.08,kepulauan pongok
19.03.08.2001,pongok
19.03.08.2002,celagen
19.04,kab. bangka tengah
19.04.01,koba
19.04.01.1001,koba
19.04.01.1002,arung dalam
19.04.01.2003,nibung
19.04.01.2005,kurau (timur)
19.04.01.2006,guntung
19.04.01.2007,penyak
19.04.01.2008,terentang iii
19.04.01.2010,kurau barat
19.04.01.1017,berok
19.04.01.1018,padang mulia
19.04.01.1019,simpang perlang
19.04.02,pangkalan baru
19.04.02.1001,dul
19.04.02.2004,air mesu
19.04.02.2006,mangkol
19.04.02.2007,tanjung gunung
19.04.02.2010,benteng
19.04.02.2012,padang baru
19.04.02.2013,jeruk
19.04.02.2014,beluluk
19.04.02.2016,pedindang
19.04.02.2018,batu belubang
19.04.02.2020,air mesu timur
19.04.02.2021,kebintik
19.04.03,sungai selan
19.04.03.1001,sungai selan
19.04.03.2002,kerantai
19.04.03.2003,keretak
19.04.03.2004,lampur
19.04.03.2005,sarang mandi
19.04.03.2006,munggu
19.04.03.2007,kemingking
19.04.03.2008,sungai selan atas
19.04.03.2009,tanjung pura
19.04.03.2010,romadhon
19.04.03.2011,kerakas
19.04.03.2012,melabun
19.04.03.2013,keretak atas
19.04.04,simpang katis
19.04.04.2001,simpang katis
19.04.04.2002,celuak
19.04.04.2003,sungkap
19.04.04.2004,beruas
19.04.04.2005,puput
19.04.04.2006,teru
19.04.04.2007,terak
19.04.04.2008,pasir garam
19.04.04.2009,katis
19.04.04.2010,pinang sebatang
19.04.05,namang
19.04.05.2001,namang
19.04.05.2002,cambai
19.04.05.2003,kayu besi
19.04.05.2004,jelutung
19.04.05.2005,belilik
19.04.05.2006,bhaskara bhakti
19.04.05.2008,bukit kijang
19.04.05.2009,cambai selatan
19.04.06,lubuk besar
19.04.06.2001,perlang
19.04.06.2002,batu beriga
19.04.06.2003,lubuk besar
19.04.06.2004,kulur
19.04.06.2005,lubuk lingkuk
19.04.06.2006,lubuk pabrik
19.04.06.2007,trubus
19.04.06.2008,kulur ilir
19.04.06.2009,belimbing
19.05,kab. bangka barat
19.05.01,muntok
19.05.01.1001,tanjung
19.05.01.1002,sungai daeng
19.05.01.1003,sungai baru
19.05.01.2004,air putih
19.05.01.2005,air belo
19.05.01.2006,belo laut
19.05.01.2007,air limau
19.05.02,simpang teritip
19.05.02.2001,pelangas
19.05.02.2002,kundi
19.05.02.2003,mayang
19.05.02.2004,peradong
19.05.02.2005,air nyatoh
19.05.02.2006,berang
19.05.02.2007,rambat
19.05.02.2008,simpang gong
19.05.02.2009,simpang tiga
19.05.02.2010,ibul
19.05.02.2011,pangek
19.05.02.2012,bukit terak
19.05.02.2013,air menduyung
19.05.03,jebus
19.05.03.2001,jebus
19.05.03.2002,sungai buluh
19.05.03.2003,tumbak petar
19.05.03.2004,limbung
19.05.03.2005,rukam
19.05.03.2008,ranggi asam
19.05.03.2009,ketap
19.05.03.2018,mislak
19.05.03.2019,pebuar
19.05.03.2020,sinar manik
19.05.03.2021,air kuang
19.05.04,kelapa
19.05.04.1001,kelapa
19.05.04.2002,mancung
19.05.04.2003,kayu arang
19.05.04.2004,pusuk
19.05.04.2005,dendang
19.05.04.2006,kacung
19.05.04.2007,sinar sari
19.05.04.2008,beruas
19.05.04.2009,tebing
19.05.04.2010,terentang
19.05.04.2011,tuik
19.05.04.2012,tugang
19.05.04.2013,air bulin
19.05.04.2014,pangkal beras
19.05.05,tempilang
19.05.05.2001,tempilang
19.05.05.2002,tanjung niur
19.05.05.2003,sangku
19.05.05.2004,buyan kelumbi
19.05.05.2005,penyampak
19.05.05.2006,benteng kota
19.05.05.2007,air lintang
19.05.05.2008,sinar surya
19.05.05.2009,simpang yul
19.05.06,parittiga
19.05.06.2001,sekar biru
19.05.06.2002,telak
19.05.06.2003,cupat
19.05.06.2004,bakit
19.05.06.2005,puput
19.05.06.2006,air gantang
19.05.06.2007,kelabat
19.05.06.2008,kapit
19.05.06.2009,semulut
19.05.06.2010,teluk limau
19.06,kab. belitung timur
19.06.01,manggar
19.06.01.2001,lalang jaya
19.06.01.2002,kurnia jaya
19.06.01.2003,padang
19.06.01.2004,kelubi
19.06.01.2006,lalang
19.06.01.2007,baru
19.06.01.2010,buku limau
19.06.01.2012,mekar jaya
19.06.01.2013,bentaian jaya
19.06.02,gantung
19.06.02.2001,gantung
19.06.02.2002,selingsing
19.06.02.2003,jangkar asam
19.06.02.2004,lilangan
19.06.02.2009,lenggang
19.06.02.2010,batu penyu
19.06.02.2011,limbongan
19.06.03,dendang
19.06.03.2001,dendang
19.06.03.2002,jangkang
19.06.03.2005,nyuruk
19.06.03.2008,balok
19.06.04,kelapa kampit
19.06.04.2001,mentawak
19.06.04.2002,senyubuk
19.06.04.2003,cendil
19.06.04.2005,buding
19.06.04.2006,mayang
19.06.04.2007,pembaharuan
19.06.05,damar
19.06.05.2001,air kelik
19.06.05.2002,mempaya
19.06.05.2003,burong mandi
19.06.05.2004,mengkubang
19.06.05.2005,sukamandi
19.06.06,simpang renggiang
19.06.06.2001,simpang tiga
19.06.06.2002,renggiang
19.06.06.2003,aik madu
19.06.06.2004,lintang
19.06.07,simpang pesak
19.06.07.2001,simpang pesak
19.06.07.2002,tanjung batu itam
19.06.07.2003,tanjung kelumpang
19.06.07.2004,dukong
19.71,kota pangkal pinang
19.71.01,bukitintan
19.71.01.1004,semabung lama
19.71.01.1006,bacang
19.71.01.1007,air itam
19.71.01.1008,pasir putih
19.71.01.1009,temberan
19.71.01.1010,sinar bulan
19.71.01.1011,air mawar
19.71.02,taman sari
19.71.02.1001,opas indah
19.71.02.1002,gedung nasional
19.71.02.1003,batin tikal
19.71.02.1004,rawa bangun
19.71.02.1005,kejaksaan
19.71.03,pangkal balam
19.71.03.1004,pasir garam
19.71.03.1005,lontong pancur
19.71.03.1006,ketapang
19.71.03.1007,ampui
19.71.03.1008,rejo sari
19.71.04,rangkui
19.71.04.1001,pintu air
19.71.04.1002,bintang
19.71.04.1005,masjid jamik
19.71.04.1006,asam
19.71.04.1007,melintang
19.71.04.1008,parit lalang
19.71.04.1009,keramat
19.71.04.1010,gajah mada
19.71.05,gerunggang
19.71.05.1001,taman bunga
19.71.05.1002,bukitmerapin
19.71.05.1004,bukitsari
19.71.05.1005,tua tunu
19.71.05.1006,kacang pedang
19.71.05.1007,air kepala tujuh
19.71.06,gabek
19.71.06.1001,selindung
19.71.06.1002,selindung baru
19.71.06.1003,gabek satu
19.71.06.1004,gabek dua
19.71.06.1005,air salemba
19.71.06.1006,jerambah gantung
19.71.07,girimaya
19.71.07.1001,pasar padi
19.71.07.1002,bukitintan
19.71.07.1003,bukitbesar
19.71.07.1004,sriwijaya
19.71.07.1005,semabung baru
21,kepulauan riau
21.01,kab. bintan
21.01.04,gunung kijang
